GEOID,Name,Total,White,Black,Asian,Hispanic,Other
12001,"Alachua County, Florida",256581,160261,50045,14865,23079,8331
12003,"Baker County, Florida",27312,22420,3790,178,633,291
12005,"Bay County, Florida",178361,138564,18777,4008,10217,6795
12007,"Bradford County, Florida",26919,20132,5182,166,1022,417
12009,"Brevard County, Florida",560683,424991,55160,12891,52153,15488
12011,"Broward County, Florida",1863780,731447,507221,64151,513748,47213
12013,"Calhoun County, Florida",14550,11235,1915,93,820,487
12015,"Charlotte County, Florida",169642,143591,9391,1929,11251,3480
12017,"Citrus County, Florida",140453,124822,3957,2278,7194,2202
12019,"Clay County, Florida",200346,150014,19155,5857,18047,7273
12021,"Collier County, Florida",348236,223646,23593,4401,92751,3845
12023,"Columbia County, Florida",68198,49972,11984,581,3788,1873
12027,"DeSoto County, Florida",35134,19338,4534,81,10782,399
12029,"Dixie County, Florida",16084,13678,1207,65,608,526
12031,"Duval County, Florida",900890,492946,261399,39196,77771,29578
12033,"Escambia County, Florida",309574,201903,66660,8860,16686,15465
12035,"Flagler County, Florida",102917,77185,10710,2406,10079,2537
12037,"Franklin County, Florida",11705,9168,1646,37,599,255
12039,"Gadsden County, Florida",46153,15177,25509,209,4628,630
12041,"Gilchrist County, Florida",17033,14869,1020,15,909,220
12043,"Glades County, Florida",13420,8171,1627,87,2817,718
12045,"Gulf County, Florida",15851,11703,2912,93,762,381
12047,"Hamilton County, Florida",14362,7860,4810,53,1297,342
12049,"Hardee County, Florida",27302,12989,2084,159,11741,329
12051,"Hendry County, Florida",38376,13005,4342,360,19625,1044
12053,"Hernando County, Florida",176797,141603,8607,1914,20459,4214
12055,"Highlands County, Florida",98862,68067,9688,1405,18267,1435
12057,"Hillsborough County, Florida",1323059,678024,206028,49612,352295,37100
12059,"Holmes County, Florida",19569,17099,1552,56,310,552
12061,"Indian River County, Florida",145342,111010,12832,1735,17143,2622
12063,"Jackson County, Florida",48721,31997,12930,284,2240,1270
12065,"Jefferson County, Florida",14082,8174,5015,0,569,324
12067,"Lafayette County, Florida",8742,6055,1442,5,1124,116
12069,"Lake County, Florida",317586,228318,30665,5702,43852,9049
12071,"Lee County, Florida",680970,470769,55922,10302,133752,10225
12073,"Leon County, Florida",284788,163379,87712,9464,17319,6914
12075,"Levy County, Florida",39707,31947,3525,158,3148,929
12077,"Liberty County, Florida",8285,6105,1474,59,510,137
12079,"Madison County, Florida",18560,10112,7135,31,896,386
12081,"Manatee County, Florida",353411,254680,30634,6498,55380,6219
12083,"Marion County, Florida",340341,244971,41745,4959,40579,8087
12085,"Martin County, Florida",153592,121895,8147,1761,19777,2012
12086,"Miami-Dade County, Florida",2664418,385471,443558,40372,1769923,25094
12087,"Monroe County, Florida",77150,52712,5106,872,17364,1096
12089,"Nassau County, Florida",77187,67548,4803,686,2922,1228
12091,"Okaloosa County, Florida",195798,146704,18115,5487,16347,9145
12093,"Okeechobee County, Florida",39420,25136,3347,408,9890,639
12095,"Orange County, Florida",1256055,535795,250975,63528,368503,37254
12097,"Osceola County, Florida",311962,110836,29198,7778,156730,7420
12099,"Palm Beach County, Florida",1398757,796265,249530,35308,289651,28003
12101,"Pasco County, Florida",488310,377509,23321,11240,65569,10671
12103,"Pinellas County, Florida",939548,707014,94310,29942,83145,25137
12105,"Polk County, Florida",637691,394858,93290,10555,125841,13147
12107,"Putnam County, Florida",72304,51963,11831,402,6901,1207
12109,"St. Johns County, Florida",218362,183535,11058,5256,13384,5129
12111,"St. Lucie County, Florida",293136,173831,56344,5295,51763,5903
12113,"Santa Rosa County, Florida",163903,136165,9218,3042,8379,7099
12115,"Sarasota County, Florida",398011,333095,17614,5976,34234,7092
12117,"Seminole County, Florida",442905,280711,46854,17889,85292,12159
12119,"Sumter County, Florida",113589,96163,9150,362,6357,1557
12121,"Suwannee County, Florida",43653,32989,5878,108,3818,860
12123,"Taylor County, Florida",22582,16298,4816,108,777,583
12125,"Union County, Florida",15159,10638,3351,72,821,277
12127,"Volusia County, Florida",510806,376072,51961,8731,62994,11048
12129,"Wakulla County, Florida",31314,24754,4698,128,1152,582
12131,"Walton County, Florida",61528,51959,3046,721,3623,2179
12133,"Washington County, Florida",24627,19113,3863,34,847,770
